t*,z*,p
0.0017476744186046512,0.6,6976.74182987685
0.0017476744186046512,0.61,6976.74280999588
0.0017476744186046512,0.62,6976.74344373609
0.0017476744186046512,0.63,6976.74385059076
0.0017476744186046512,0.64,6976.74410992685
0.0017476744186046512,0.65,6976.74427405467
0.0017476744186046512,0.66,6976.74437718753
0.0017476744186046512,0.67,6976.74444153144
0.0017476744186046512,0.68,6976.74448138926
0.0017476744186046512,0.69,6976.74450590332
0.0017476744186046512,0.7,6976.74452087299
0.0017476744186046512,0.71,6976.74452994922
0.0017476744186046512,0.72,6976.744535413
0.0017476744186046512,0.73,6976.74453867871
0.0017476744186046512,0.74,6976.74454061673
0.0017476744186046512,0.75,6976.74454175864
0.0017476744186046512,0.76,6976.74454242668
0.0017476744186046512,0.77,6976.74454281472
0.0017476744186046512,0.78,6976.7445430385
0.0017476744186046512,0.79,6976.74454316664
0.0017476744186046512,0.8,6976.7445432395
0.0017476744186046512,0.81,6976.74454328062
0.0017476744186046512,0.82,6976.74454330367
0.0017476744186046512,0.83,6976.74454331649
0.0017476744186046512,0.84,6976.74454332358
0.0017476744186046512,0.85,6976.74454332747
0.0017476744186046512,0.86,6976.74454332958
0.0017476744186046512,0.87,6976.74454333073
0.0017476744186046512,0.88,6976.74454333135
0.0017476744186046512,0.89,6976.74454333167
0.0017476744186046512,0.9,6976.74454333185
0.0017476744186046512,0.91,6976.74454333194
0.0017476744186046512,0.92,6976.74454333198
0.0017476744186046512,0.93,6976.74454333201
0.0017476744186046512,0.94,6976.74454333202
0.0017476744186046512,0.95,6976.74454333203
0.0017476744186046512,0.96,6976.74454333203
0.0017476744186046512,0.97,6976.74454333203
0.0017476744186046512,0.98,6976.74454333203
0.0017476744186046512,0.99,6976.74454333203
0.0017476744186046512,1.0,6976.74454333203
0.03488372093023256,0.0,0.0
0.03488372093023256,0.01,105.205842435662
0.03488372093023256,0.02,210.373152838297
0.03488372093023256,0.03,315.463442293773
0.03488372093023256,0.04,420.438297827899
0.03488372093023256,0.05,525.259420185654
0.03488372093023256,0.06,629.888661382233
0.03488372093023256,0.07,734.288061950642
0.03488372093023256,0.08,838.419887811391
0.03488372093023256,0.09,942.246666690806
0.03488372093023256,0.1,1045.73122401555
0.03488372093023256,0.11,1148.83671821231
0.03488372093023256,0.12,1251.52667534296
0.03488372093023256,0.13,1353.76502300737
0.03488372093023256,0.14,1455.51612344762
0.03488372093023256,0.15,1556.74480578936
0.03488372093023256,0.16,1657.4163973585
0.03488372093023256,0.17,1757.49675401317
0.03488372093023256,0.18,1856.95228943378
0.03488372093023256,0.19,1955.75000331625
0.03488372093023256,0.2,2053.85750841627
0.03488372093023256,0.21,2151.24305639535
0.03488372093023256,0.22,2247.87556242202
0.03488372093023256,0.23,2343.72462848493
0.03488372093023256,0.24,2438.76056537734
0.03488372093023256,0.25,2532.95441331608
0.03488372093023256,0.26,2626.27796116085
0.03488372093023256,0.27,2718.70376420348
0.03488372093023256,0.28,2810.20516049996
0.03488372093023256,0.29,2900.75628572152
0.03488372093023256,0.3,2990.33208650449
0.03488372093023256,0.31,3078.90833228233
0.03488372093023256,0.32,3166.46162558652
0.03488372093023256,0.33,3252.96941080679
0.03488372093023256,0.34,3338.40998140449
0.03488372093023256,0.35,3422.76248557666
0.03488372093023256,0.36,3506.00693037168
0.03488372093023256,0.37,3588.12418426105
0.03488372093023256,0.38,3669.09597817521
0.03488372093023256,0.39,3748.90490501484
0.03488372093023256,0.4,3827.53441765224
0.03488372093023256,0.41,3904.96882544108
0.03488372093023256,0.42,3981.19328925564
0.03488372093023256,0.43,4056.19381508416
0.03488372093023256,0.44,4129.95724620394
0.03488372093023256,0.45,4202.47125396862
0.03488372093023256,0.46,4273.72432724141
0.03488372093023256,0.47,4343.70576051047
0.03488372093023256,0.48,4412.40564072552
0.03488372093023256,0.49,4479.81483289746
0.03488372093023256,0.5,4545.92496450499
0.03488372093023256,0.51,4610.72840875489
0.03488372093023256,0.52,4674.21826674467
0.03488372093023256,0.53,4736.38834857838
0.03488372093023256,0.54,4797.23315348861
0.03488372093023256,0.55,4856.74784901924
0.03488372093023256,0.56,4914.92824932532
0.03488372093023256,0.57,4971.77079264816
0.03488372093023256,0.58,5027.27251802498
0.03488372093023256,0.59,5081.43104129366
0.03488372093023256,0.6,5134.24453045463
0.03488372093023256,0.61,5185.7116804525
0.03488372093023256,0.62,5235.83168744113
0.03488372093023256,0.63,5284.60422259654
0.03488372093023256,0.64,5332.02940554243
0.03488372093023256,0.65,5378.10777745376
0.03488372093023256,0.66,5422.84027390376
